PREQ-20260703-0007,全部付款,应付货款,山西骏豪汽车销售服务有限公司,329400,329400.0,PPS-202605-1570,LDJT-2026-014-SXJH-10587,山西骏豪汽车销售服务有限公司,采购业务,--,--,--,事业二部二组,田若成,2026-07-03,戚德慧,汇款,已付款,329400,2026-07-03,--,--
PREQ-20260701-0050,全部付款,应付货款,质子汽车科技有限公司,329400,329400.0,PPS-202601-851,LDJT-2025-014-SXQF-35180,山西青丰物流有限公司,采购业务,--,--,--,事业二部三组,白昊昊,2026-07-01,戚德慧,汇款,已付款,329400,2026-07-03,--,--
PREQ-20260701-0029,全部付款,应付货款,徐州徐工新能源汽车有限公司,329400,329400.0,PPS-202604-1844,LDJT-2026-014-JZHJQC-05456,晋中航晋汽车销售服务有限公司,采购业务,--,--,--,事业二部二组,田若成,2026-07-01,戚德慧,商业承兑汇票,已付款,329400,2026-07-03,--,--
PREQ-20260701-0030,全部付款,应付货款,运城市昊通汽贸有限公司,988200,988200.0,PPS-202606-1330,LDJT-2026-014-HTQM-13682,运城市昊通汽贸有限公司,采购业务,--,--,--,事业二部三组,马琛超,2026-07-01,戚德慧,商业承兑汇票,已付款,988200,2026-07-03,--,--
PREQ-20260701-0004,全部付款,应付货款,长治市鸿元汽车销售服务有限公司,658800,658800.0,PPS-202605-831,LDJT-2026-014-CZSHY-10363,长治市鸿元汽车销售服务有限公司,采购业务,--,--,--,事业二部三组,白昊昊,2026-07-01,戚德慧,汇款,已付款,658800,2026-07-02,--,--
PREQ-20260630-0093,全部付款,应付货款,徐州徐工新能源汽车有限公司,658800,658800.0,PPS-202605-1953,LDJT-2026-014-JXYS-11923,榆林市佳轩运输有限公司,采购业务,--,--,--,事业二部五组,陈毓甲,2026-06-30,戚德慧,商业承兑汇票,已付款,658800,2026-07-02,--,--
PREQ-20260630-0092,全部付款,应付货款,陕西重型汽车有限公司,308100,308100.0,PPS-202605-797,LDJT-2026-014-SXZK-10162,陕西重卡专用车有限公司,采购业务,--,--,--,事业二部四组,蒙迪,2026-06-30,戚德慧,商业承兑汇票,已付款,308100,2026-07-02,--,--
PREQ-20260630-0090,全部付款,应付货款,陕西重型汽车有限公司,329400,329400.0,PPS-202605-897,LDJT-2026-014-SXRH-10180,陕西融和绿动汽车科技有限公司,采购业务,--,--,--,事业二部四组,蒙迪,2026-06-30,戚德慧,商业承兑汇票,已付款,329400,2026-07-02,--,--
PREQ-20260630-0089,全部付款,应付货款,徐州徐工新能源汽车有限公司,329400,329400.0,PPS-202605-1864,LDJT-2026-014-JZHJQC-10453,晋中航晋汽车销售服务有限公司,采购业务,--,--,--,事业二部二组,尚勇磊,2026-06-30,戚德慧,商业承兑汇票,已付款,329400,2026-07-02,--,--
PREQ-20260630-0084,全部付款,应付货款,徐州徐工新能源汽车有限公司,432800,432800.0,PPS-202606-513,LDJT-2026-014-JZHJQC-07536,晋中航晋汽车销售服务有限公司,采购业务,--,--,--,事业二部二组,张旺龙,2026-06-30,戚德慧,商业承兑汇票,已付款,432800,2026-07-02,--,--
